GEOIDFQ,NAME,GEOTYPE,YEAR,FUEL_TYPE,FACILITIES,CAPACITY
0500000US39041,Delaware County,COUNTY,2000,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2000,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2000,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2000,Solar,0,0.0
0500000US39041,Delaware County,COUNTY,2000,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2000,Wind,0,0.0
0500000US39041,Delaware County,COUNTY,2001,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2001,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2001,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2001,Solar,0,0.0
0500000US39041,Delaware County,COUNTY,2001,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2001,Wind,0,0.0
0500000US39041,Delaware County,COUNTY,2002,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2002,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2002,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2002,Solar,0,0.0
0500000US39041,Delaware County,COUNTY,2002,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2002,Wind,0,0.0
0500000US39041,Delaware County,COUNTY,2003,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2003,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2003,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2003,Solar,0,0.0
0500000US39041,Delaware County,COUNTY,2003,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2003,Wind,0,0.0
0500000US39041,Delaware County,COUNTY,2004,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2004,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2004,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2004,Solar,0,0.0
0500000US39041,Delaware County,COUNTY,2004,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2004,Wind,1,1.0
0500000US39041,Delaware County,COUNTY,2005,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2005,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2005,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2005,Solar,0,0.0
0500000US39041,Delaware County,COUNTY,2005,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2005,Wind,0,0.0
0500000US39041,Delaware County,COUNTY,2006,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2006,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2006,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2006,Solar,2,6.720000000000001
0500000US39041,Delaware County,COUNTY,2006,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2006,Wind,0,0.0
0500000US39041,Delaware County,COUNTY,2007,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2007,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2007,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2007,Solar,0,0.0
0500000US39041,Delaware County,COUNTY,2007,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2007,Wind,0,0.0
0500000US39041,Delaware County,COUNTY,2008,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2008,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2008,Natural Gas/Propane,0,0.0
0500000US39041,Delaware County,COUNTY,2008,Solar,0,0.0
0500000US39041,Delaware County,COUNTY,2008,Waste Gas,0,0.0
0500000US39041,Delaware County,COUNTY,2008,Wind,0,0.0
0500000US39041,Delaware County,COUNTY,2009,Biofuel,0,0.0
0500000US39041,Delaware County,COUNTY,2009,Energy Storage,0,0.0
0500000US39041,Delaware County,COUNTY,2009,Natural Gas/Propane,0,0.0
